ID,X1,X2,X3,X4,X5
1,1.57,4.57,5.57,13.57,-3.43
2,2.2,5.2,4.2,13.2,-2.8
3,2.98,5.98,2.98,12.98,-5.02
4,4.06,7.06,2.06,13.06,-1.94
5,4.97,7.97,4.97,12.97,-6.03
6,6.09,5.09,4.09,13.09,-3.91
7,6.47,5.47,2.47,12.47,-3.53
8,8.09,7.09,2.09,13.09,-4.91
9,9.48,8.48,5.48,13.48,-1.52
10,9.56,8.56,3.56,12.56,-6.44
11,10.7,5.7,2.7,12.7,-4.3
12,12.19,7.19,2.19,13.19,-2.81
13,13.42,8.42,5.42,13.42,-4.58
14,13.64,8.64,3.64,12.64,-2.36
15,15.06,10.06,3.06,13.06,-5.94
16,15.78,6.78,1.78,12.78,-4.22
17,16.45,7.45,4.45,12.45,-3.55
18,17.56,8.56,3.56,12.56,-5.44
19,19.29,10.29,3.29,13.29,-1.71
20,20.34,11.34,2.34,13.34,-5.66
21,20.81,3.81,4.81,12.81,-4.19
22,22.45,5.45,4.45,13.45,-2.55
23,22.6,5.6,2.6,12.6,-5.4
24,23.53,6.53,1.53,12.53,-2.47
25,24.49,7.49,4.49,12.49,-6.51
26,25.9,4.9,3.9,12.9,-4.1
27,27.46,6.46,3.46,13.46,-2.54
28,28.34,7.34,2.34,13.34,-4.66
29,29.31,8.31,5.31,13.31,-1.69
30,30.33,9.33,4.33,13.33,-5.67
31,31.01,6.01,3.01,13.01,-3.99
32,32.17,7.17,2.17,13.17,-2.83
33,33.35,8.35,5.35,13.35,-4.65
34,33.42,8.42,3.42,12.42,-2.58
35,35.41,10.41,3.41,13.41,-5.59
36,36.36,7.36,2.36,13.36,-3.64
37,36.75,7.75,4.75,12.75,-3.25
38,37.73,8.73,3.73,12.73,-5.27
39,39.16,10.16,3.16,13.16,-1.84
40,40.3,11.3,2.3,13.3,-5.7
41,41.44,4.44,5.44,13.44,-3.56
42,42.43,5.43,4.43,13.43,-2.57
43,42.91,5.91,2.91,12.91,-5.09
44,44.45,7.45,2.45,13.45,-1.55
45,45.39,8.39,5.39,13.39,-5.61
46,45.9,4.9,3.9,12.9,-4.1
47,46.54,5.54,2.54,12.54,-3.46
48,48.29,7.29,2.29,13.29,-4.71
49,49.55,8.55,5.55,13.55,-1.45
50,50.45,9.45,4.45,13.45,-5.55
51,50.5,5.5,2.5,12.5,-4.5
52,52.25,7.25,2.25,13.25,-2.75
53,53.21,8.21,5.21,13.21,-4.79
54,54.3,9.3,4.3,13.3,-1.7
55,54.74,9.74,2.74,12.74,-6.26
56,55.76,6.76,1.76,12.76,-4.24
57,57.11,8.11,5.11,13.11,-2.89
58,58.26,9.26,4.26,13.26,-4.74
59,59.06,10.06,3.06,13.06,-1.94
60,59.79,10.79,1.79,12.79,-6.21
61,60.76,3.76,4.76,12.76,-4.24
62,62.5,5.5,4.5,13.5,-2.5
63,62.7,5.7,2.7,12.7,-5.3
64,63.5,6.5,1.5,12.5,-2.5
65,64.63,7.63,4.63,12.63,-6.37
66,65.94,4.94,3.94,12.94,-4.06
67,66.51,5.51,2.51,12.51,-3.49
68,68.01,7.01,2.01,13.01,-4.99
69,68.72,7.72,4.72,12.72,-2.28
70,69.8,8.8,3.8,12.8,-6.2
71,70.61,5.61,2.61,12.61,-4.39
72,72.22,7.22,2.22,13.22,-2.78
73,72.7,7.7,4.7,12.7,-5.3
74,74.42,9.42,4.42,13.42,-1.58
75,75.24,10.24,3.24,13.24,-5.76
76,75.79,6.79,1.79,12.79,-4.21
77,76.87,7.87,4.87,12.87,-3.13
78,78.54,9.54,4.54,13.54,-4.46
79,79.47,10.47,3.47,13.47,-1.53
80,80.39,11.39,2.39,13.39,-5.61
81,81.45,4.45,5.45,13.45,-3.55
82,82.27,5.27,4.27,13.27,-2.73
83,83.2,6.2,3.2,13.2,-4.8
84,83.63,6.63,1.63,12.63,-2.37
85,85.08,8.08,5.08,13.08,-5.92
86,86.5,5.5,4.5,13.5,-3.5
87,87.43,6.43,3.43,13.43,-2.57
88,88.09,7.09,2.09,13.09,-4.91
89,88.65,7.65,4.65,12.65,-2.35
90,89.55,8.55,3.55,12.55,-6.45
91,90.61,5.61,2.61,12.61,-4.39
92,91.84,6.84,1.84,12.84,-3.16
93,93.46,8.46,5.46,13.46,-4.54
94,93.85,8.85,3.85,12.85,-2.15
95,95.09,10.09,3.09,13.09,-5.91
96,96.22,7.22,2.22,13.22,-3.78
97,97.35,8.35,5.35,13.35,-2.65
98,98.23,9.23,4.23,13.23,-4.77
99,98.68,9.68,2.68,12.68,-2.32
100,99.74,10.74,1.74,12.74,-6.26
