ID,X1,X2,X3,X4,X5
1,1.73,4.73,5.73,13.73,-3.27
2,2.1,5.1,4.1,13.1,-2.9
3,2.67,5.67,2.67,12.67,-5.33
4,4.26,7.26,2.26,13.26,-1.74
5,5.46,8.46,5.46,13.46,-5.54
6,6.2,5.2,4.2,13.2,-3.8
7,6.71,5.71,2.71,12.71,-3.29
8,8.31,7.31,2.31,13.31,-4.69
9,9.36,8.36,5.36,13.36,-1.64
10,10.37,9.37,4.37,13.37,-5.63
11,10.78,5.78,2.78,12.78,-4.22
12,11.86,6.86,1.86,12.86,-3.14
13,13.31,8.31,5.31,13.31,-4.69
14,13.98,8.98,3.98,12.98,-2.02
15,15.1,10.1,3.1,13.1,-5.9
16,16.2,7.2,2.2,13.2,-3.8
17,16.77,7.77,4.77,12.77,-3.23
18,17.89,8.89,3.89,12.89,-5.11
19,19.47,10.47,3.47,13.47,-1.53
20,20.59,11.59,2.59,13.59,-5.41
21,20.51,3.51,4.51,12.51,-4.49
22,22.35,5.35,4.35,13.35,-2.65
23,23.2,6.2,3.2,13.2,-4.8
24,23.88,6.88,1.88,12.88,-2.12
25,25.12,8.12,5.12,13.12,-5.88
26,26.03,5.03,4.03,13.03,-3.97
27,26.63,5.63,2.63,12.63,-3.37
28,28.37,7.37,2.37,13.37,-4.63
29,28.73,7.73,4.73,12.73,-2.27
30,29.94,8.94,3.94,12.94,-6.06
31,31.36,6.36,3.36,13.36,-3.64
32,32.41,7.41,2.41,13.41,-2.59
33,33.02,8.02,5.02,13.02,-4.98
34,34.36,9.36,4.36,13.36,-1.64
35,34.43,9.43,2.43,12.43,-6.57
36,36.45,7.45,2.45,13.45,-3.55
37,37.35,8.35,5.35,13.35,-2.65
38,37.64,8.64,3.64,12.64,-5.36
39,38.83,9.83,2.83,12.83,-2.17
40,40.06,11.06,2.06,13.06,-5.94
41,41.07,4.07,5.07,13.07,-3.93
42,42.19,5.19,4.19,13.19,-2.81
43,43.6,6.6,3.6,13.6,-4.4
44,44.26,7.26,2.26,13.26,-1.74
45,44.69,7.69,4.69,12.69,-6.31
46,45.82,4.82,3.82,12.82,-4.18
47,47.08,6.08,3.08,13.08,-2.92
48,47.8,6.8,1.8,12.8,-5.2
49,49,8,5,13,-2
50,49.64,8.64,3.64,12.64,-6.36
51,50.93,5.93,2.93,12.93,-4.07
52,51.72,6.72,1.72,12.72,-3.28
53,52.51,7.51,4.51,12.51,-5.49
54,54.11,9.11,4.11,13.11,-1.89
55,55.39,10.39,3.39,13.39,-5.61
56,55.9,6.9,1.9,12.9,-4.1
57,56.9,7.9,4.9,12.9,-3.1
58,58.22,9.22,4.22,13.22,-4.78
59,58.88,9.88,2.88,12.88,-2.12
60,59.93,10.93,1.93,12.93,-6.07
61,61.54,4.54,5.54,13.54,-3.46
62,62.34,5.34,4.34,13.34,-2.66
63,63.4,6.4,3.4,13.4,-4.6
64,64.1,7.1,2.1,13.1,-1.9
65,64.56,7.56,4.56,12.56,-6.44
66,66.03,5.03,4.03,13.03,-3.97
67,67.38,6.38,3.38,13.38,-2.62
68,68.28,7.28,2.28,13.28,-4.72
69,68.89,7.89,4.89,12.89,-2.11
70,70,9,4,13,-6
71,70.43,5.43,2.43,12.43,-4.57
72,72.1,7.1,2.1,13.1,-2.9
73,72.6,7.6,4.6,12.6,-5.4
74,74.53,9.53,4.53,13.53,-1.47
75,75.25,10.25,3.25,13.25,-5.75
76,75.92,6.92,1.92,12.92,-4.08
77,76.49,7.49,4.49,12.49,-3.51
78,78.43,9.43,4.43,13.43,-4.57
79,79.31,10.31,3.31,13.31,-1.69
80,79.52,10.52,1.52,12.52,-6.48
81,80.55,3.55,4.55,12.55,-4.45
82,81.52,4.52,3.52,12.52,-3.48
83,83.01,6.01,3.01,13.01,-4.99
84,84.3,7.3,2.3,13.3,-1.7
85,84.95,7.95,4.95,12.95,-6.05
86,85.56,4.56,3.56,12.56,-4.44
87,86.67,5.67,2.67,12.67,-3.33
88,87.87,6.87,1.87,12.87,-5.13
89,88.63,7.63,4.63,12.63,-2.37
90,89.93,8.93,3.93,12.93,-6.07
91,90.73,5.73,2.73,12.73,-4.27
92,91.55,6.55,1.55,12.55,-3.45
93,93.39,8.39,5.39,13.39,-4.61
94,94.47,9.47,4.47,13.47,-1.53
95,95.05,10.05,3.05,13.05,-5.95
96,96.38,7.38,2.38,13.38,-3.62
97,96.98,7.98,4.98,12.98,-3.02
98,97.85,8.85,3.85,12.85,-5.15
99,98.52,9.52,2.52,12.52,-2.48
100,99.58,10.58,1.58,12.58,-6.42
