date,temperature
2023-01-01,22.1
2023-01-02,21.8
2023-01-03,22.5
2023-01-04,23.0
2023-01-05,23.2
2023-01-06,22.9
2023-01-07,23.5
2023-01-08,24.0
2023-01-09,24.5
2023-01-10,24.85
2023-01-11,25.2
2023-01-12,25.5
2023-01-13,25.8
2023-01-14,26.0
2023-01-15,26.1
2023-01-16,26.2
2023-01-17,26.5
2023-01-18,26.8
2023-01-19,27.0
2023-01-20,27.2
2023-01-21,27.5
2023-01-22,27.8
2023-01-23,28.0
2023-01-24,28.2
2023-01-25,28.5
2023-01-26,28.8
2023-01-27,29.0
2023-01-28,29.2
2023-01-29,29.5
2023-01-30,29.8
2023-01-31,30.0
2023-02-01,30.2
2023-02-02,30.5
2023-02-03,30.8
2023-02-04,31.0
2023-02-05,31.2
2023-02-06,31.5
2023-02-07,31.8
2023-02-08,32.0
2023-02-09,32.2
2023-02-10,32.5
2023-02-11,32.8
2023-02-12,33.0
2023-02-13,33.2
2023-02-14,33.5
2023-02-15,33.8
2023-02-16,34.0
2023-02-17,34.2
2023-02-18,34.5
2023-02-19,34.8
2023-02-20,35.0
2023-02-21,35.2
2023-02-22,35.5
2023-02-23,35.8
2023-02-24,36.0
2023-02-25,36.2
2023-02-26,36.5
2023-02-27,36.8
2023-02-28,37.0
2023-03-01,37.2
2023-03-02,37.5
2023-03-03,37.8
2023-03-04,38.0
2023-03-05,38.2
2023-03-06,38.5
2023-03-07,38.8
2023-03-08,39.0
2023-03-09,39.2
2023-03-10,39.5
2023-03-11,39.8
2023-03-12,40.0
2023-03-13,40.2
2023-03-14,40.5
2023-03-15,40.8
2023-03-16,41.0
2023-03-17,41.2
2023-03-18,41.5
2023-03-19,41.8
2023-03-20,42.0
2023-03-21,42.2
2023-03-22,42.5
2023-03-23,42.8
2023-03-24,43.0
2023-03-25,43.2
2023-03-26,43.5
2023-03-27,43.8
2023-03-28,44.0
2023-03-29,44.2
2023-03-30,44.5
2023-03-31,44.8
